id                                  , postedDate          , title                                                                                                                                                                                                                             , agencyId, documentType     , lastModifiedDate
OPM-2025-0004-2886                  , 2025-04-23T00:00:00Z, Comment from Anonymous                                                                                                                                                                                                            , OPM     , Public Submission, 2025-05-30T00:08:57Z
CISA-2024-0037-0007                 , 2024-12-16T05:00:00Z, Comment Submitted by Francisco Ruberki Gonzalez Tejeda                                                                                                                                                                            , CISA    , Public Submission, 2024-12-16T20:01:16Z
NTIA-2024-0002-0048                 , 2024-11-15T05:00:00Z, Comment from Accenture LLP                                                                                                                                                                                                        , NTIA    , Public Submission, 2024-11-15T14:36:49Z
NTIA-2024-0002-0034                 , 2024-11-15T05:00:00Z, Comment from Information Technology Industry Council (ITI)                                                                                                                                                                        , NTIA    , Public Submission, 2024-11-15T14:36:40Z
BIS-2024-0020-0016                  , 2024-11-06T05:00:00Z, Comment on FR Doc # 2024-19633                                                                                                                                                                                                    , BIS     , Public Submission, 2024-11-06T15:05:28Z
BIS-2024-0020-0013                  , 2024-11-06T05:00:00Z, Comment on FR Doc # 2024-19633                                                                                                                                                                                                    , BIS     , Public Submission, 2024-11-06T15:01:52Z
EPA-HQ-OEJECR-2024-0147-0007        , 2024-10-25T04:00:00Z, Comment submitted by Theodora Scarato                                                                                                                                                                                             , EPA     , Public Submission, 2024-10-26T00:37:38Z
USTR-2024-0015-0050                 , 2024-10-21T04:00:00Z, Comment from National Foreign Trade Council                                                                                                                                                                                       , USTR    , Public Submission, 2024-10-21T14:46:20Z
USTR-2024-0015-0040                 , 2024-10-19T04:00:00Z, Comment from United States Council for International Business                                                                                                                                                                     , USTR    , Public Submission, 2024-10-20T03:14:59Z
USTR-2024-0015-0024                 , 2024-10-17T04:00:00Z, Comment from Computer & Communications Industry Association (CCIA)                                                                                                                                                                , USTR    , Public Submission, 2024-10-19T23:25:10Z
USTR-2024-0015-0016                 , 2024-10-17T04:00:00Z, Comment from Information Technology Industry Council (ITI)                                                                                                                                                                        , USTR    , Public Submission, 2024-10-19T23:21:38Z
PTO-P-2024-0026-0017                , 2024-10-17T04:00:00Z, Comment by HTIA                                                                                                                                                                                                                   , PTO     , Public Submission, 2024-10-17T15:52:22Z
EPA-R05-OAR-2021-0544-0150          , 2024-10-16T04:00:00Z, "Comment submitted by Conservation Groups on the proposed approval of the Ohio Regional Haze SIP, includes Exhibits 1 through 15"                                                                                                 , EPA     , Public Submission, 2024-10-17T00:43:41Z
BIS-2024-0029-0025                  , 2024-10-16T04:00:00Z, Access Now FINAL_Civil society joint comments to BIS_15 October 2024                                                                                                                                                              , BIS     , Public Submission, 2024-10-16T14:33:35Z
PTO-C-2024-0023-0019                , 2024-09-27T04:00:00Z, Comment by Amgen                                                                                                                                                                                                                  , PTO     , Public Submission, 2024-09-27T14:49:55Z
EPA-HQ-OPP-2024-0299-0194           , 2024-09-27T04:00:00Z, Comment submitted by U.S. Beet Sugar Association et al.                                                                                                                                                                           , EPA     , Public Submission, 2024-09-29T00:56:57Z
EPA-HQ-OAR-2024-0135-0131           , 2024-09-26T04:00:00Z, Comment submitted by Environmental Defense Fund (EDF)                                                                                                                                                                             , EPA     , Public Submission, 2024-09-27T00:36:05Z
EPA-R04-OAR-2022-0786-0081          , 2024-09-20T04:00:00Z, "Comment submitted by NPCA, Sierra Club, Coalition, Center for Biological Diversity, SELC"                                                                                                                                        , EPA     , Public Submission, 2024-09-21T00:46:29Z
EPA-R08-OAR-2023-0641-0016          , 2024-09-17T04:00:00Z, Comment submitted by Conservation Groups                                                                                                                                                                                          , EPA     , Public Submission, 2024-09-18T01:04:05Z
EPA-R05-OAR-2022-0974-0009          , 2024-09-12T04:00:00Z, Conservation Groups Comments on the Proposed approval of the Minnesota Regional Haze SIP Revision                                                                                                                                 , EPA     , Public Submission, 2024-09-13T00:40:03Z
EPA-R08-OAR-2023-0489-0451          , 2024-09-10T04:00:00Z, "Comment submitted by Conservation Groups (NPCA, Powder River Basin Resource Council, Sierra Club, Coalition to Protect America's Natl Parks)"                                                                                    , EPA     , Public Submission, 2024-09-11T02:15:40Z
EPA-R07-OAR-2024-0313-0023          , 2024-09-04T04:00:00Z, Comment submitted by Sierra Club                                                                                                                                                                                                  , EPA     , Public Submission, 2024-09-05T00:40:33Z
NTIA-2024-0001-0020                 , 2024-08-30T04:00:00Z, Comment from Alliance for Telecommunications Industry Solutions (ATIS)                                                                                                                                                            , NTIA    , Public Submission, 2024-08-30T18:26:28Z
NTIA-2024-0001-0014                 , 2024-08-30T04:00:00Z, Comment from QRC America LLC                                                                                                                                                                                                      , NTIA    , Public Submission, 2024-08-30T18:25:17Z
NTIA-2024-0001-0010                 , 2024-08-30T04:00:00Z, Comment from Cirrus360                                                                                                                                                                                                            , NTIA    , Public Submission, 2024-08-30T18:24:01Z
NTIA-2024-0001-0015                 , 2024-08-30T04:00:00Z, "Comment from Mavenir Systems, Inc."                                                                                                                                                                                              , NTIA    , Public Submission, 2024-08-30T18:25:26Z
NTIA-2024-0001-0029                 , 2024-08-30T04:00:00Z, Comment from Virginia Tech                                                                                                                                                                                                        , NTIA    , Public Submission, 2024-08-30T18:28:37Z
NTIA-2024-0001-0017                 , 2024-08-30T04:00:00Z, Comment from Information Technology Industry Council                                                                                                                                                                              , NTIA    , Public Submission, 2024-08-30T18:25:55Z
FWS-HQ-IA-2024-0124-27771           , 2024-08-23T04:00:00Z, Comment from Anonymous                                                                                                                                                                                                            , FWS     , Public Submission, 2024-08-23T20:49:05Z
EPA-R08-OAR-2023-0495-0044          , 2024-08-19T04:00:00Z, Comment submitted by Conservation Groups                                                                                                                                                                                          , EPA     , Public Submission, 2024-08-20T00:38:18Z
DOE-HQ-2024-0052-0013               , 2024-08-19T04:00:00Z, Comment on FR Doc # 2024-15591                                                                                                                                                                                                    , DOE     , Public Submission, 2024-08-19T20:08:13Z
USTR-2024-0009-0024                 , 2024-08-07T04:00:00Z, Comment from Rethink Trade                                                                                                                                                                                                        , USTR    , Public Submission, 2024-08-07T20:33:11Z
TREAS-DO-2024-0012-0027             , 2024-08-05T04:00:00Z, Comment from Future Union                                                                                                                                                                                                         , TREAS   , Public Submission, 2024-08-05T13:14:53Z
TREAS-DO-2024-0012-0026             , 2024-08-05T04:00:00Z, Comment from Future Union                                                                                                                                                                                                         , TREAS   , Public Submission, 2024-08-05T13:14:26Z
TREAS-DO-2024-0012-0045             , 2024-08-05T04:00:00Z, Comment from Andreessen Horowitz                                                                                                                                                                                                  , TREAS   , Public Submission, 2024-08-05T13:27:33Z
TREAS-DO-2024-0012-0042             , 2024-08-05T04:00:00Z, Comment from Americans for Financial Reform Education Fund                                                                                                                                                                        , TREAS   , Public Submission, 2024-08-05T13:26:00Z
TREAS-DO-2024-0012-0020             , 2024-08-02T04:00:00Z, Comment from Semiconductor Industry Association                                                                                                                                                                                   , TREAS   , Public Submission, 2024-08-02T20:34:53Z
BOEM-2024-0030-0031                 , 2024-07-31T04:00:00Z, "Comment from terkelsen, kristin"                                                                                                                                                                                                 , BOEM    , Public Submission, 2024-08-01T00:47:54Z
